2024-06-10T10:57:06.819Z [INFO] - Processing chunk: 30 / 50
2024-06-10T10:57:06.963Z [INFO] - Processing chunk: 31 / 50
2024-06-10T10:57:07.165Z [INFO] - Processing chunk: 32 / 50
2024-06-10T10:57:07.314Z [INFO] - Processing chunk: 33 / 50
2024-06-10T10:57:07.461Z [INFO] - Processing chunk: 34 / 50
2024-06-10T10:57:07.594Z [INFO] - Processing chunk: 35 / 50
2024-06-10T10:57:08.393Z [INFO] - Processing chunk: 36 / 50
2024-06-10T10:57:08.515Z [INFO] - Processing chunk: 37 / 50
2024-06-10T10:57:08.656Z [INFO] - Processing chunk: 38 / 50
2024-06-10T10:57:08.770Z [INFO] - Processing chunk: 39 / 50
2024-06-10T10:57:08.894Z [INFO] - Processing chunk: 40 / 50
2024-06-10T10:57:09.041Z [INFO] - Processing chunk: 41 / 50
2024-06-10T10:57:09.351Z [INFO] - Processing chunk: 42 / 50
2024-06-10T10:57:09.528Z [INFO] - Processing chunk: 43 / 50
2024-06-10T10:57:09.703Z [INFO] - Processing chunk: 44 / 50
2024-06-10T10:57:09.892Z [INFO] - Processing chunk: 45 / 50
2024-06-10T10:57:10.025Z [INFO] - Processing chunk: 46 / 50
2024-06-10T10:57:10.187Z [INFO] - Processing chunk: 47 / 50
2024-06-10T10:57:10.390Z [INFO] - Processing chunk: 48 / 50
2024-06-10T10:57:10.577Z [INFO] - Processing chunk: 49 / 50
2024-06-10T10:57:10.888Z [INFO] - Processing chunk: 50 / 50
2024-06-10T10:58:00.353Z [INFO] - Running scheduled task
2024-06-10T10:58:00.364Z [INFO] - Read data from file: C:\Users\soura\OneDrive\Desktop\masai_git\sourabh_rawat_ft31_244\unit-6\sprint-4\evaluation\MOCK_DATA.json
2024-06-10T10:58:00.375Z [INFO] - Parsed data successfully from file: C:\Users\soura\OneDrive\Desktop\masai_git\sourabh_rawat_ft31_244\unit-6\sprint-4\evaluation\MOCK_DATA.json
2024-06-10T10:58:00.380Z [INFO] - Processing chunk: 1 / 50
2024-06-10T10:58:00.566Z [INFO] - Processing chunk: 2 / 50
2024-06-10T10:58:00.704Z [INFO] - Processing chunk: 3 / 50
2024-06-10T10:58:00.831Z [INFO] - Processing chunk: 4 / 50
2024-06-10T10:58:00.977Z [INFO] - Processing chunk: 5 / 50
2024-06-10T10:58:01.101Z [INFO] - Processing chunk: 6 / 50
2024-06-10T10:58:01.531Z [INFO] - Processing chunk: 7 / 50
2024-06-10T10:58:01.680Z [INFO] - Processing chunk: 8 / 50
2024-06-10T10:58:01.818Z [INFO] - Processing chunk: 9 / 50
2024-06-10T10:58:01.950Z [INFO] - Processing chunk: 10 / 50
2024-06-10T10:58:02.082Z [INFO] - Processing chunk: 11 / 50
2024-06-10T10:58:02.512Z [INFO] - Processing chunk: 12 / 50
2024-06-10T10:58:02.652Z [INFO] - Processing chunk: 13 / 50
2024-06-10T10:58:02.783Z [INFO] - Processing chunk: 14 / 50
2024-06-10T10:58:02.881Z [INFO] - Processing chunk: 15 / 50
2024-06-10T10:58:03.005Z [INFO] - Processing chunk: 16 / 50
2024-06-10T10:58:03.479Z [INFO] - Processing chunk: 17 / 50
2024-06-10T10:58:03.602Z [INFO] - Processing chunk: 18 / 50
2024-06-10T10:58:03.727Z [INFO] - Processing chunk: 19 / 50
2024-06-10T10:58:03.868Z [INFO] - Processing chunk: 20 / 50
2024-06-10T10:58:04.004Z [INFO] - Processing chunk: 21 / 50
2024-06-10T10:58:04.457Z [INFO] - Processing chunk: 22 / 50
2024-06-10T10:58:04.576Z [INFO] - Processing chunk: 23 / 50
2024-06-10T10:58:04.713Z [INFO] - Processing chunk: 24 / 50
2024-06-10T10:58:04.860Z [INFO] - Processing chunk: 25 / 50
2024-06-10T10:58:05.001Z [INFO] - Processing chunk: 26 / 50
2024-06-10T10:58:05.450Z [INFO] - Processing chunk: 27 / 50
2024-06-10T10:58:05.603Z [INFO] - Processing chunk: 28 / 50
2024-06-10T10:58:05.748Z [INFO] - Processing chunk: 29 / 50
2024-06-10T10:58:05.857Z [INFO] - Processing chunk: 30 / 50
2024-06-10T10:58:05.966Z [INFO] - Processing chunk: 31 / 50
2024-06-10T10:58:06.449Z [INFO] - Processing chunk: 32 / 50
2024-06-10T10:58:06.596Z [INFO] - Processing chunk: 33 / 50
2024-06-10T10:58:06.928Z [INFO] - Processing chunk: 34 / 50
2024-06-10T10:58:07.081Z [INFO] - Processing chunk: 35 / 50
2024-06-10T10:58:07.242Z [INFO] - Processing chunk: 36 / 50
2024-06-10T10:58:07.666Z [INFO] - Processing chunk: 37 / 50
